RLD,RS,TE_code,active_ingredients,company,dosageform_route,drug_class,drug_name,marketing_status,review_priority,strength,use,rare,hereditary,medical_area,specific,gender,year
Yes,Yes,None,pralsetinib,BLUEPRINT MEDICINES,CAPSULE;ORAL,Type 1 - New Molecular Entity,Gavreto,Prescription,PRIORITY; Orphan,100MG,To treat non-small lung cancer,no,no,cancer,Lung,children and adults,9/4/2020
No,No,None,"atoltivimab, maftivimab, and odesivimab-ebgn",REGENERON PHARMACEUTICALS,SOLUTION; INJECTION,,Inmazeb,Prescription,N/A; Orphan,16.7MG/1ML,To treat ebola virus,no,no,ebola virus,ebola virus,adults,10/14/2020
Yes,Yes,None,remdesivir,GILEAD SCIENCES INC,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Veklury,Prescription,PRIORITY,100MG/VIAL,To treat COVID-19,no,no,COVID-19,COVID-19,adults,10/22/2020
Yes,Yes,None,remdesivir,GILEAD SCIENCES INC,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Veklury,Prescription,PRIORITY,100MG/20ML (5MG/ML),To treat COVID-19,no,no,COVID-19,COVID-19,adults,10/22/2020
Yes,No,None,lonafarnib,EIGER BIOPHARMS,CAPSULE;ORAL,Type 1 - New Molecular Entity,Zokinvy,Prescription,PRIORITY; Orphan,50MG,To ,yes,no,Hutchinson-Gilford Progeria Syndrome;,Hutchinson-Gilford Progeria Syndrome;,infant and children,11/20/2020
Yes,Yes,None,lonafarnib,EIGER BIOPHARMS,CAPSULE;ORAL,Type 1 - New Molecular Entity,Zokinvy,Prescription,PRIORITY; Orphan,75MG,To ,yes,no,Hutchinson-Gilford Progeria Syndrome;,Hutchinson-Gilford Progeria Syndrome;,infant and children,11/20/2020
Yes,Yes,None,lumasiran,ALNYLAM PHARMS INC,SOLUTION;SUBCUTANEOUS,Type 1 - New Molecular Entity,Oxlumo,Prescription,PRIORITY; Orphan,EQ 94.5MG/0.5ML BASE (EQ 94.5MG/0.5ML BASE),To treat hyperoxaluria type 1,no,yes,nephrology,nephrology,adults,11/23/2020
Yes,Yes,None,setmelanotide,RHYTHM,SOLUTION;SUBCUTANEOUS,Type 1 - New Molecular Entity,Imcivree,Prescription,PRIORITY; Orphan,EQ 10MG/ML BASE (EQ 10MG/ML BASE),"To treat obesity and the control of hunger associated with pro-opiomelanocortin deficiency, a rare disorder that causes severe obesity that begins at an early age",no,yes,metabolic,obesity,children and adults,11/25/2020
No,No,None,naxitamab-gqgk,Y-MABS THERAPEUTICS INC,SOLUTION;INTRAVENOUS,,Danyelza,Prescription,N/A; Orphan,40MG/10ML,To treat high-risk refractory or relapsed neuroblastoma,no,no,cancer,neuroblastoma,children and adults,11/25/2020
Yes,Yes,None,Gallium 68 PSMA-11,UNIV CA LOS ANGELES,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Gallium 68 PSMA-11,Prescription,STANDARD,30ML (0.5-5MCI/ML),For detection and localization of prostate cancer,no,no,cancer,cancer location,male,12/1/2020
Yes,No,None,berotralstat,BIOCRYST,CAPSULE;ORAL,Type 1 - New Molecular Entity,Orladeyo,Prescription,STANDARD; Orphan,EQ 110MG BASE,To treat patients with hereditary angioedema,yes,yes,Hereditary angioedema,Hereditary angioedema,children and adults,12/3/2020
Yes,Yes,None,berotralstat,BIOCRYST,CAPSULE;ORAL,Type 1 - New Molecular Entity,Orladeyo,Prescription,STANDARD; Orphan,EQ 150MG BASE,To treat patients with hereditary angioedema,yes,yes,Hereditary angioedema,Hereditary angioedema,children and adults,12/3/2020
Yes,Yes,None,tirbanibulin,ALMIRALL,OINTMENT;TOPICAL,Type 1 - New Molecular Entity,Klisyri,Prescription,STANDARD,1%,To treat actinic Keratosis of the face or scalp,no,no,skin,skin,adults,12/14/2020
TBD,No,None,margetuximab (anti-HER2 mAb,MACROGENICS INC,INJECTABLE;INJECTION,,Margenza,Prescription,N/A,250MG/10ML(25MG/ML),To treat HER2+ breast cancer,no,no,cancer,breast,adults,12/16/2020
Yes,Yes,None,relugolix,MYOVANT SCIENCES,TABLET;ORAL,Type 1 - New Molecular Entity,Orgovyx,Prescription,PRIORITY,120MG,To treat advanced prostate cancer,no,no,cancer,prostate,male,12/18/2020
No,No,None,"
			",RIDGEBACK BIOTHERAPEUTICS,POWDER;IV (INFUSION),,Ebanga,Prescription,N/A; Orphan,400MG/VIAL,To treat ebola,no,no,ebola virus,ebola virus,children and adults,12/21/2020
Yes,Yes,None,vibegron,UROVANT,TABLET;ORAL,Type 1 - New Molecular Entity,Gemtesa,Prescription,STANDARD,75MG,To treat overactive bladder,no,no,nephrology,nephrology,adults,12/23/2020
No,No,None,caplacizumab-yhdp,ABLYNX NV,INJECTABLE;INJECTION,,Cablivi,Prescription,N/A; Orphan,11MG/VIAL,To treat adult patients with acquired thrombotic thrombocytopenic purpura (aTTP),no,no,immune disease,immunotherapy,adults,2/6/2019
Yes,Yes,None,,NOVARTIS,TABLET;ORAL,Type 1 - New Molecular Entity,Egaten,Prescription,PRIORITY; Orphan,250MG,"To treat fascioliasis, a parasitic infestation caused by two species of flatworms or trematodes that mainly the affect the liver, sometimes referred to as “liver flukes”",no,no,vector-borne diseases,worms,children and adults,2/13/2019
Yes,Yes,None,brexanolone,SAGE THERAP,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Zulresso,Prescription,PRIORITY,100MG/20ML (5MG/ML),To treat postpartum depression (PPD) in adult women,no,no,mental health,mental health,female,3/19/2019
Yes,No,None,solriamfetol,JAZZ,TABLET;ORAL,Type 1 - New Molecular Entity,Sunosi,Prescription,STANDARD,EQ 75MG BASE,To treat excessive sleepiness in adult patients with narcolepsy or obstructive sleep apnea,no,no,other,sleep,adults,3/20/2019
Yes,Yes,None,solriamfetol,JAZZ,TABLET;ORAL,Type 1 - New Molecular Entity,Sunosi,Prescription,STANDARD,EQ 150MG BASE,To treat excessive sleepiness in adult patients with narcolepsy or obstructive sleep apnea,no,no,other,sleep,adults,3/20/2019
Yes,No,None,siponimod,NOVARTIS,TABLET;ORAL,Type 1 - New Molecular Entity,Mayzent,Prescription,PRIORITY,EQ 0.25MG BASE,To treat adults with relapsing forms of multiple sclerosis,no,no,immune disease,multiple sclerosis,adults,3/26/2019
Yes,Yes,None,siponimod,NOVARTIS,TABLET;ORAL,Type 1 - New Molecular Entity,Mayzent,Prescription,PRIORITY,EQ 2MG BASE,To treat adults with relapsing forms of multiple sclerosis,no,no,immune disease,multiple sclerosis,adults,3/26/2019
No,No,None,romosozumab-aqqg,AMGEN INC,INJECTABLE;INJECTION,,Evenity,Prescription,N/A,105MG/1.17ML,To treat osteoporosis in postmenopausal women at high risk of fracture,no,no,immune disease,osteoporosis ,female,4/9/2019
Yes,No,None,erdafitinib,JANSSEN BIOTECH,TABLET;ORAL,Type 1 - New Molecular Entity,Balversa,Prescription,PRIORITY,3MG,To treat adult patients with locally advanced or metastatic bladder cancer,no,no,cancer,nephrology,adults,4/12/2019
Yes,No,None,erdafitinib,JANSSEN BIOTECH,TABLET;ORAL,Type 1 - New Molecular Entity,Balversa,Prescription,PRIORITY,4MG,To treat adult patients with locally advanced or metastatic bladder cancer,no,no,cancer,nephrology,adults,4/12/2019
Yes,Yes,None,erdafitinib,JANSSEN BIOTECH,TABLET;ORAL,Type 1 - New Molecular Entity,Balversa,Prescription,PRIORITY,5MG,To treat adult patients with locally advanced or metastatic bladder cancer,no,no,cancer,nephrology,adults,4/12/2019
No,No,None,risankizumab-rzaa,ABBVIE INC,INJECTABLE;INJECTION,,Skyrizi ,Prescription,N/A,75MG/0.83ML,To treat moderate-to-severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,no,no,skin,skin,adults,4/23/2019
Yes,Yes,None,tafamidis meglumine,FOLDRX PHARMS,CAPSULE;ORAL,Type 1 - New Molecular Entity,Vyndaqel,Prescription,PRIORITY; Orphan,20MG,To treat heart disease (cardiomyopathy) caused by transthyretin mediated amyloidosis (ATTR-CM) in adults,no,yes,cardiovascular,cardiovascular,adults,5/3/2019
Yes,No,None,alpelisib,NOVARTIS,TABLET;ORAL,Type 1 - New Molecular Entity,Piqray,Prescription,PRIORITY,50MG,To treat breast cancer,no,no,cancer,breast,female,5/24/2019
Yes,No,None,alpelisib,NOVARTIS,TABLET;ORAL,Type 1 - New Molecular Entity,Piqray,Prescription,PRIORITY,150MG,To treat breast cancer,no,no,cancer,breast,female,5/24/2019
Yes,Yes,None,alpelisib,NOVARTIS,TABLET;ORAL,Type 1 - New Molecular Entity,Piqray,Prescription,PRIORITY,200MG,To treat breast cancer,no,no,cancer,breast,female,5/24/2019
No,No,None,polatuzumab vedotin-piiq,GENENTECH,POWDER;INTRAVENOUS,,Polivy,Prescription,N/A; Orphan,140MG/VIAL,To treat adult patients with relapsed or refractory diffuse large B-cell lymphoma,no,no,cancer,blood,adults,6/10/2019
No,No,None,polatuzumab vedotin-piiq,GENENTECH,POWDER;INTRAVENOUS,,Polivy,Prescription,N/A; Orphan,30MG/VIAL,To treat adult patients with relapsed or refractory diffuse large B-cell lymphoma,no,no,cancer,blood,adults,6/10/2019
Yes,Yes,None,bremelanotide,PALATIN TECHNOLOGIES,SOLUTION;SUBCUTANEOUS,Type 1 - New Molecular Entity,Vyleesi,Prescription,STANDARD,EQ 1.75MG BASE/0.3ML (EQ 1.75MG BASE/0.3 ML),To treat hypoactive sexual desire disorder in premenopausal women.,no,no,mental health,mental health,female,6/21/2018
Yes,Yes,None,selinexor,KARYOPHARM THERAPS,TABLET;ORAL,Type 1 - New Molecular Entity,Xpovio,Prescription,PRIORITY; Orphan,20MG,To treat adult patients with relapsed or refractory multiple myeloma (RRMM),no,no,cancer,bone marrow,adults,7/3/2019
Yes,Yes,None,"imipenem, cilastatin and relebactam",MSD MERCK CO,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity and Type 4 - New Combination,Recarbrio,Prescription,PRIORITY,EQ 500MG BASE/VIAL;500MG/VIAL;250MG/VIAL,To treat complicated urinary tract and complicated intra-abdominal infections,no,no,nephrology,nephrology,adults,7/16/2019
Yes,No,None,ferric maltol,SHIELD TX,CAPSULE;ORAL,Type 1 - New Molecular Entity,Accrufer,Discontinued,STANDARD,30MG IRON,To treat,no,no,other,iron deficiency,adults,7/25/2019
Yes,Yes,None,darolutamide,BAYER HEALTHCARE,TABLET;ORAL,Type 1 - New Molecular Entity,Nubeqa,Prescription,PRIORITY,300MG,To treat adult patients with non-metastatic castration resistant prostate cancer,no,no,cancer,prostate,male,7/30/2019
Yes,Yes,None,pexidartinib,DAIICHI SANKYO INC,CAPSULE;ORAL,Type 1 - New Molecular Entity,Turalio,Prescription,PRIORITY; Orphan,EQ 200MG BASE,To treat adult patients with symptomatic tenosynovial giant cell tumor,yes,no,cancer,lungs,adults,8/2/2019
Yes,Yes,None,,MYLAN IRELAND LTD,TABLET;ORAL,Type 1 - New Molecular Entity,pretomanid,Prescription,PRIORITY; Orphan,200MG,For treatment-resistant forms of tuberculosis that affects the lungs,yes,no,pulmonary,tuberculosis,adults and children,8/14/2019
Yes,No,None,entrectinib,GENENTECH INC,CAPSULE;ORAL,Type 1 - New Molecular Entity,Rozlytrek,Prescription,PRIORITY; Orphan,100MG,"
			",yes,no,cancer,lung,adults,8/15/2019
Yes,Yes,None,entrectinib,GENENTECH INC,CAPSULE;ORAL,Type 1 - New Molecular Entity,Rozlytrek,Prescription,PRIORITY; Orphan,200MG,"
			",yes,no,cancer,lung,adults,8/15/2019
Yes,Yes,None,fedratinib,IMPACT,CAPSULE;ORAL,Type 1 - New Molecular Entity,Inrebic,Prescription,PRIORITY; Orphan,EQ 100MG BASE,To treat adult patients with intermediate-2 or high-risk primary or secondary myelofibrosis,yes,no,cancer,blood,adults,8/16/2019
Yes,Yes,None,upadacitinib,ABBVIE INC,"TABLET, EXTENDED RELEASE;ORAL",Type 1 - New Molecular Entity,Rinvoq,Prescription,PRIORITY,15MG,To treat adults with moderately to severely active rheumatoid arthritis,no,no,immune disease,rheumatoid arthritis,adults,8/16/2019
Yes,Yes,None,lefamulin,NABRIVA,TABLET;ORAL,Type 1 - New Molecular Entity,Xenleta,Prescription,PRIORITY,EQ 600MG BASE,To treat adults with community-acquired bacterial pneumonia,no,no,other,pneumonia,adults,8/19/2019
Yes,Yes,None,"
			",UIHC PET IMAGING,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Ga-68-DOTATOC,Prescription,STANDARD; Orphan,0.5-4mCi/ML,"
			",no,no,cancer,cancer location,adults,8/21/2019
Yes,No,None,istradefylline,KYOWA KIRIN,TABLET;ORAL,Type 1 - New Molecular Entity,Nourianz,Prescription,STANDARD,20MG,To treat ,no,no,nervous system,Parkinson’s disease,adults,8/27/2019
Yes,Yes,None,istradefylline,KYOWA KIRIN,TABLET;ORAL,Type 1 - New Molecular Entity,Nourianz,Prescription,STANDARD,40MG,To treat ,no,no,nervous system,Parkinson’s disease,adults,8/27/2019
Yes,No,None,tenapanor,ARDELYX INC,TABLET;ORAL,Type 1 - New Molecular Entity,Ibsrela,Discontinued,STANDARD,EQ 50MG BASE,To treat irritable bowel syndrome with constipation in adults.,no,no,digestive,constipation,adults,9/12/2019
Yes,Yes,None,trifarotene,GALDERMA LABS LP,CREAM;TOPICAL,Type 1 - New Molecular Entity,Aklief,Prescription,STANDARD,0.005%,"
			",no,no,skin,acne,children and adults,10/4/2019
No,No,None,brolucizumab–dbll,NOVARTIS PHARMS CORP,INJECTABLE; INTRAVITREAL,,Beovu,Prescription,N/A,6MG/0.05ML,Treatment of wet age-related macular degeneration,no,no,muscular,eye,adults,10/7/2019
Yes,Yes,None,afamelanotide,CLIVUNEL INC,IMPLANT;SUBCUTANEOUS,Type 1 - New Molecular Entity,Scenesse,Prescription,PRIORITY; Orphan,16MG,To increase pain-free light exposure in adult patients with a history of phototoxic reactions (damage to skin) from erythropoietic protoporphyria,no,no,skin,skin,adults,10/8/2019
Yes,No,None,lasmiditan,ELI LILLY AND CO,TABLET;ORAL,Type 1 - New Molecular Entity,Reyvow,Prescription,STANDARD,50MG,"
			",no,no,neurology,neurology,adults,10/11/2019
Yes,Yes,None,lasmiditan,ELI LILLY AND CO,TABLET;ORAL,Type 1 - New Molecular Entity,Reyvow,Prescription,STANDARD,100MG,"
			",no,no,neurology,neurology,adults,10/11/2019
Yes,No,None,lasmiditan,ELI LILLY AND CO,TABLET;ORAL,Type 1 - New Molecular Entity,Reyvow,Prescription,STANDARD,200MG,"
			",no,no,neurology,neurology,adults,10/11/2019
Yes,Yes,None,elexacaftor/ivacaftor/tezacaftor,VERTEX PHARMS INC,"TABLET, TABLET;ORAL",Type 1 - New Molecular Entity,Trikafta,Prescription,PRIORITY; Orphan,"100MG,75MG,50MG;N/A,150MG,N/A","
			",no,yes,pulmonary,cystic fibrosis,adults,10/21/2019
Yes,Yes,None,air polymer-type A,GISKIT,FOAM;INTRAUTERINE,Type 1 - New Molecular Entity,ExEm Foam,Prescription,STANDARD,10ML, diagnostic agent used to assess fallopian tube patency (openness),no,no,fertility,imaging,female,11/7/2019
No,No,None,luspatercept–aamt,CELGENE CORP,POWDER;SUBCUTANEOUS,,Reblozyl,Prescription,N/A; Orphan,25MG/VIAL,"
			",no,yes,cardiovascular,anemia,adults,11/8/2019
No,No,None,luspatercept–aamt,CELGENE CORP,POWDER;SUBCUTANEOUS,,Reblozyl,Prescription,N/A; Orphan,75MG/VIAL,"
			",no,yes,cardiovascular,anemia,adults,11/8/2019
Yes,Yes,None,zanubrutinib,BEIGENE,CAPSULE;ORAL,Type 1 - New Molecular Entity,Brukinsa,Prescription,PRIORITY; Orphan,80MG,"
			",no,no,cancer,lymph node,adults,11/14/2019
Yes,Yes,None,cefiderocol,SHIONOGI INC,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Fetroja,Prescription,PRIORITY,EQ 1GM BASE/VIAL,To treat patients with complicated urinary tract infections who have limited or no alternative treatment options,yes,no,nephrology,UTI,adults,11/14/2019
No,No,None,crizanlizumab-tmca,NOVARTIS PHARMS CORP,INJECTABLE; INJECTION,,Adakveo,Prescription,N/A; Orphan,100MG/10ML,To treat patients with painful complication of sickle cell disease,yes,yes,cardiovascular, anemia,children and adults,11/15/2019
Yes,Yes,None,givosiran,ALNYLAM PHARMS INC,SOLUTION;SUBCUTANEOUS,Type 1 - New Molecular Entity,Givlaari,Prescription,PRIORITY; Orphan,EQ 189MG BASE/ML (EQ 189MG BASE/ML),"To treat acute hepatic porphyria, a rare blood disorder",yes,yes,hepatic,acute hepatic porphyria,adults,11/20/2019
Yes,No,None,cenobamate,SK LIFE,TABLET;ORAL,Type 1 - New Molecular Entity,Xcopri,Prescription,STANDARD,12.5MG,To treat partial onset seizures,no,no,muscular,seizures,adults,11/21/2019
Yes,No,None,cenobamate,SK LIFE,TABLET;ORAL,Type 1 - New Molecular Entity,Xcopri,Prescription,STANDARD,25MG,To treat partial onset seizures,no,no,muscular,seizures,adults,11/21/2019
Yes,No,None,cenobamate,SK LIFE,TABLET;ORAL,Type 1 - New Molecular Entity,Xcopri,Prescription,STANDARD,50MG,To treat partial onset seizures,no,no,muscular,seizures,adults,11/21/2019
Yes,No,None,cenobamate,SK LIFE,TABLET;ORAL,Type 1 - New Molecular Entity,Xcopri,Prescription,STANDARD,100MG,To treat partial onset seizures,no,no,muscular,seizures,adults,11/21/2019
Yes,No,None,cenobamate,SK LIFE,TABLET;ORAL,Type 1 - New Molecular Entity,Xcopri,Prescription,STANDARD,150MG,To treat partial onset seizures,no,no,muscular,seizures,adults,11/21/2019
Yes,Yes,None,cenobamate,SK LIFE,TABLET;ORAL,Type 1 - New Molecular Entity,Xcopri,Prescription,STANDARD,200MG,To treat partial onset seizures,no,no,muscular,seizures,adults,11/21/2019
Yes,Yes,None,voxelotor,GLOBAL BLOOD THERAPS,TABLET;ORAL,Type 1 - New Molecular Entity,Oxbryta,Prescription,PRIORITY; Orphan,500MG,To treat sickle cell disease,no,yes,cardiovascular,anemia,adults,11/25/2019
Yes,Yes,None,golodirsen,SAREPTA THERAPS INC,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Vyondys 53,Prescription,PRIORITY; Orphan,100MG/2ML (50MG/ML),To treat certain patients with Duchenne muscular dystrophy,yes,yes,muscular,Duchenne muscular dystrophy,male,12/12/2019
No,No,None,enfortumab vedotin-ejfv,ASTELLAS,INJECTABLE;INJECTION,,Padcev,Prescription,N/A,20MG/VIAL,To treat refractory bladder cancer,no,no,cancer,nephrology,adults,12/18/2019
No,No,None,enfortumab vedotin-ejfv,ASTELLAS,INJECTABLE;INJECTION,,Padcev,Prescription,N/A,30MG/VIAL,To treat refractory bladder cancer,no,no,cancer,nephrology,adults,12/18/2019
Yes,Yes,None,Brilliant Blue G Ophthalmic Solution,DUTCH OPHTHALMIC,SOLUTION;OPHTHALMIC,Type 1 - New Molecular Entity,TissueBlue,Prescription,PRIORITY; Orphan,0.025%,Dye used in eye surgery,no,no,muscular,imaging,adults,12/20/2019
Yes,Yes,None,lumateperone tosylate,INTRA-CELLULAR,CAPSULE;ORAL,Type 1 - New Molecular Entity,Caplyta,Prescription,STANDARD,EQ 42MG BASE,To treat schizophrenia,no,no,mental health,schizophrenia,adults,12/20/2019
Yes,No,None,lemborexant,EISAI INC,TABLET;ORAL,Type 1 - New Molecular Entity,Dayvigo,Prescription,STANDARD,5MG,To treat insomnia,no,no,other,sleep,adults,12/20/2019
Yes,Yes,None,lemborexant,EISAI INC,TABLET;ORAL,Type 1 - New Molecular Entity,Dayvigo,Prescription,STANDARD,10MG,To treat insomnia,no,no,other,sleep,adults,12/20/2019
TBD,No,None,fam-trastuzumab deruxtecan-nxki,DAIICHI SANKYO,INJECTABLE;INJECTION,,Enhertu,Prescription,N/A,100MG,To treat metastatic breast cancer,no,no,cancer,breast,female,12/20/2019
Yes,No,None,ubrogepant,ALLERGAN,TABLET;ORAL,Type 1 - New Molecular Entity,Ubrelvy,Prescription,STANDARD,50MG,to treat acute treatment of migraine with or without aura in adults,no,no,neurology,migraine,adults,12/23/2019
Yes,Yes,None,ubrogepant,ALLERGAN,TABLET;ORAL,Type 1 - New Molecular Entity,Ubrelvy,Prescription,STANDARD,100MG,to treat acute treatment of migraine with or without aura in adults,yes,no,HIV,HIV,adults,12/23/2019
Yes,Yes,None,"bictegravir, embitcitabine, tenofovir alafenamide",GILEAD SCIENCES INC,TABLET;ORAL,Type 1 - New Molecular Entity and Type 4 - New Combination,Biktarvy,Prescription,PRIORITY,EQ 50MG BASE;200MG;EQ 25MG BASE,To treat infection in adults who have no antiretroviral treatment history or to replace the current antiretroviral regimen,yes,no,HIV,HIV,adults,2/7/2018
Yes,Yes,None,tezacaftor; ivacaftor,VERTEX PHARMS INC,"TABLET, TABLET;ORAL",Type 1 - New Molecular Entity,Symdeko,Prescription,PRIORITY; Orphan,"150MG,N/A;150MG, 100MG",To treat cystic fibrosis in patients age 12 years and older,no,yes,pulmonary,cystic fibrosis,adults and children,2/12/2018
Yes,No,None,tezacaftor; ivacaftor,VERTEX PHARMS INC,"TABLET, TABLET;ORAL",Type 1 - New Molecular Entity,Symdeko,Prescription,PRIORITY; Orphan,"75MG,N/A;75MG, 50MG",To treat cystic fibrosis in patients age 12 years and older,no,yes,pulmonary,cystic fibrosis,adults and children,2/12/2018
Yes,Yes,None,apalutamide,JANSSEN BIOTECH,TABLET;ORAL,Type 1 - New Molecular Entity,Erleada,Prescription,PRIORITY,60MG,To treat a certain type of prostate cancer using novel clinical trial endpoint,no,no,cancer,prostate,male,2/14/2018
No,No,None,ibalizumab-uiyk,TAIMED BIOLOGICS USA,INJECTABLE;INJECTION,,Trogarzo,Prescription,N/A; Orphan,150MG/ML,To treat HIV patients who have limited treatment options,no,yes,HIV,HIV,adults,3/6/2018
No,No,None,tildrakizumab,SUN PHARMA GLOBAL,INJECTABLE;INJECTION,,Ilumya,Prescription,N/A,100MG/1ML,To treat adults with moderate-to-severe plaque psoriasis who are candidates for systemic therapy or phototherapy,no,no,immune disease,plaque psoriasis,adults,3/20/2018
Yes,No,None,fostamatinib,RIGEL PHARMS INC,TABLET;ORAL,Type 1 - New Molecular Entity,Tavalisse,Prescription,STANDARD; Orphan,EQ 100MG BASE,To treat thrombocytopenia in adult patients with persistent or chronic immune thrombocytopenia (ITP),no,no,immune disease,immune thrombocytopenia ,adults,4/17/2018
Yes,Yes,None,fostamatinib,RIGEL PHARMS INC,TABLET;ORAL,Type 1 - New Molecular Entity,Tavalisse,Prescription,STANDARD; Orphan,EQ 150MG BASE,To treat thrombocytopenia in adult patients with persistent or chronic immune thrombocytopenia (ITP),no,no,immune disease,immune thrombocytopenia ,adults,4/17/2018
Yes,Yes,None,moxidectin,MDGH,TABLET;ORAL,Type 1 - New Molecular Entity,Moxidectin,Prescription,PRIORITY; Orphan,2MG,To treat onchocerciasis due to Onchocerca volvulus in patients aged 12 years and older,no,no,vector-borne diseases,insect bite,adults and children,6/13/2018
TBD,No,None,burosumab-twza,ULTRAGENYX PHARM INC,INJECTABLE;INJECTION,,Crysvita,Prescription,N/A; Orphan,10MG/ML,"To treat adults and children ages 1 year and older with x-linked hypophosphatemia (XLH), a rare, inherited form of rickets",yes,yes,cardiovascular,x-linked hypophosphatemia,adults and children,4/17/2018
Yes,Yes,None,fosnetupitant and palonosetron,HELSINN HLTHCARE,POWDER;INTRAVENOUS,Type 1 - New Molecular Entity,Akynzeo,Prescription,STANDARD,EQ 235MG BASE/VIAL;EQ 0.25MG BASE/VIAL,To prevent acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy,no,no,cancer,nausea,adults,4/19/2018
Yes,Yes,None,fosnetupitant and palonosetron,HELSINN HLTHCARE,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Akynzeo,Prescription,STANDARD,EQ 235MG BASE/20ML (EQ 11.75MG BASE/ML);EQ 0.25MG BASE/20ML (EQ 0.0125MG BASE/ML),To prevent acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy,no,no,cancer,nausea,adults,4/19/2018
Yes,Yes,None,lofexidine hydrochloride,USWM,TABLET;ORAL,Type 1 - New Molecular Entity,Lucemyra,Prescription,PRIORITY,EQ 0.18MG BASE,For the non-opioid treatment for management of opioid withdrawal symptoms in adults,no,no,mental,drug treatment,adults,5/16/2018
No,No,None,erenumab-aooe,AMGEN INC,INJECTABLE;INJECTION,,Aimovig,Prescription,N/A,70MG/ML,For the preventive treatment for migraine,no,no,neurology,migraine,adults,5/17/2018
Yes,No,None,sodium zirconium cyclosilicate,ASTRAZENECA,FOR SUSPENSION;ORAL,Type 1 - New Molecular Entity,Lokelma,Prescription,STANDARD,5GM/PACKET,To treat hyperkalemia,no,no,cardiovascular,cardiovascular,adults,5/18/2018
Yes,Yes,None,sodium zirconium cyclosilicate,ASTRAZENECA,FOR SUSPENSION;ORAL,Type 1 - New Molecular Entity,Lokelma,Prescription,STANDARD,10GM/PACKET,To treat hyperkalemia,no,no,cardiovascular,cardiovascular,adults,5/18/2018
Yes,Yes,None,avatrombopag,AKARX INC,TABLET;ORAL,Type 1 - New Molecular Entity,Doptelet,Prescription,PRIORITY; Orphan,EQ 20MG BASE,To treat low blood platelet count (thrombocytopenia) in adults with chronic liver disease who are scheduled to undergo a medical or dental procedure,no,no,cardiovascular,cardiovascular,adults,5/21/2018
No,No,None,pegvaliase-pqpz,BIOMARIN PHARM,INJECTABLE;INJECTION,,Palynziq,Prescription,N/A; Orphan,2.5MG/O.5ML,To treat adults with a rare and serious genetic disease known as phenylketonuria (PKU),yes,yes,metabolic,phenylketonuria ,adults,5/24/2018
No,No,None,pegvaliase-pqpz,BIOMARIN PHARM,INJECTABLE;INJECTION,,Palynziq,Prescription,N/A; Orphan,10MG/0.5ML,To treat adults with a rare and serious genetic disease known as phenylketonuria (PKU),yes,yes,metabolic,phenylketonuria ,adults,5/24/2018
No,No,None,pegvaliase-pqpz,BIOMARIN PHARM,INJECTABLE;INJECTION,,Palynziq,Prescription,N/A; Orphan,20MG/ML,To treat adults with a rare and serious genetic disease known as phenylketonuria (PKU),yes,yes,metabolic,phenylketonuria ,adults,5/24/2018
Yes,Yes,None,baricitinib,ELI LILLY AND CO,TABLET;ORAL,Type 1 - New Molecular Entity,Olumiant,Prescription,STANDARD,2MG,To treat moderately to severely active rheumatoid arthritis,no,no,immune disease,rheumatoid arthritis,adults,5/31/2018
Yes,No,None,baricitinib,ELI LILLY AND CO,TABLET;ORAL,Type 1 - New Molecular Entity,Olumiant,Prescription,STANDARD,1MG,To treat moderately to severely active rheumatoid arthritis,no,no,immune disease,rheumatoid arthritis,adults,5/31/2018
Yes,Yes,None,cannabidiol,GW RES LTD,SOLUTION;ORAL,Type 1 - New Molecular Entity,Epidioloex,Prescription,PRIORITY; Orphan,100MG/ML,"To treat rare, severe forms of epilepsy",no,no,nervous system,seizures,adults,6/25/2018
Yes,Yes,None,plazomicin,CIPLA USA,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Zemdri,Prescription,PRIORITY,EQ 500MG BASE/10ML (EQ 50MG BASE/ML),To treat adults with complicated urinary tract infections,no,no,nephrology,UTI,adults,6/25/2018
Yes,Yes,None,binimetinib,ARRAY BIOPHARMA INC,TABLET;ORAL,Type 1 - New Molecular Entity and Type 4 - New Combination,Mektovi,Prescription,STANDARD; Orphan,15MG,To treat unresectable or metastatic melanoma,no,no,cancer,skin,adults,6/27/2018
Yes,No,None,encorafenib,ARRAY BIOPHARMA INC,CAPSULE;ORAL,Type 1 - New Molecular Entity and Type 4 - New Combination,Braftovi,Discontinued,STANDARD; Orphan,50MG,To treat unresectable or metastatic melanoma,no,no,cancer,skin,adults,6/27/2018
